id;name;city;address;phones;website;vk;ok;instagram;telegram;email;whatsapp;notes;status;completeness_score;filled_fields;priority
CMP0140;Ритуалум;Ростов-на-Дону;(уточнить по сайту);;https://rostov-na-donu.ritualum.ru;;;;;;;Фотокерамика, фото на стекле, ретушь фото. ⭐ ПЕРСПЕКТИВНЫЙ КЛИЕНТ ДЛЯ РЕТУШЁРА.;active;15;['website'];Критический
CMP0141;Ритуальное агентство «Фараон»;Ростов-на-Дону;(уточнить);+78632940446;;;;;;;;Рейтинг 5.0 на BLIZKO. Гранитная крошка, литьевой камень.;active;30;['phones'];Критический
CMP0142;Родос;Ростов-на-Дону;Орбитальная улица, 1в;+7 (863) 276-55-54;https://rodos61.ru;;;;;info@rodos61.ru;;Производственное предприятие;active;75;['phones', 'address', 'website', 'email'];Средний
CMP0143;Мир Памяти (МИРПАМЯТИ);Ростовская область (сеть);(офисы в 13+ городах);;https://мирпамяти.рф;;;;;;;КРУПНАЯ СЕТЬ. Города: Константиновск, Красный Сулин, Миллерово, Морозовск, Новочеркасск, Новошахтинск, Пролетарск, Ростов-на-Дону, Сальск, Семикаракорск, Таганрог, Цимлянск, Шахты. Фотокерамика, фото на стекле «Триплекс». ⭐ ПЕРСПЕКТИВНЫЙ КЛИЕНТ.;active;35;['address', 'website'];Высокий
CMP0144;Сталь-Цинк;Ростовская область;(уточнить);;https://stal-cink.com;;;;;;;Металлические памятники. Опт для ритуальных компаний. 22+ города РО.;active;15;['website'];Критический
CMP0145;Изготовление памятников (Клиновая ул.);Сальск;Тихорецкая улица, 1Е || Клиновая ул., 2;+79094025999;;;;;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА;active;50;['phones', 'address'];Высокий
CMP0146;Мир Памяти (Сальск);Сальск;(уточнить);+7 (989) 220-10-77, 8 (800) 555-17-25;https://salsk.мирпамяти.рф;;;;+79618559078;zakaz-mirpamyati@yandex.ru;+7 (988) 240-97-47;Найдено при обогащении. Федеральная сеть. Головной офис: г. Краснодар, ул. Рашпилевская 86. Источник: мирпамяти.рф;active;65;['website'];Средний
CMP0147;Обелиск 61 (Сальск — доставка);Сальск;(доставка из Ростова-на-Дону);+7 (967) 555-11-78;https://obelisk61.ru;;;;;;;Собственный цех в РнД. Доставка и установка в Сальске.;active;65;['phones', 'address', 'website'];Средний
CMP0148;Памятники (ул. Садовая);Сальск;ул. Садовая, 5;;;;;;;;;;unknown;20;['address'];Критический
CMP0149;Памятники (ул. Свободы);Сальск;ул. Свободы, 106;8-800-505-95-14;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0150;Памятники Грааль;Сальск;ул. Николая Островского, 100;;;;;;;;;;unknown;20;['address'];Критический
CMP0151;Реал_Сальск;Сальск;ул. Крупской, 200;+7 (928) 966-40-03;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0152;Мир Памяти (Семикаракорск);Семикаракорск;(уточнить);+7 (989) 220-10-77, 8 (800) 555-17-25;https://semikarakorsk.мирпамяти.рф;;;;+79618559078;zakaz-mirpamyati@yandex.ru;+7 (988) 240-97-47;Найдено при обогащении. Федеральная сеть. Головной офис: г. Краснодар, ул. Рашпилевская 86. Источник: мирпамяти.рф;active;65;['website'];Средний
CMP0153;Памятники Семикаракорск;Семикаракорск;;+79043456485, +78632605059;https://semikarakorsk.spravker.ru/pamyatniki-i-nadgrobiya;;;;;;;;active;45;['phones', 'website'];Высокий
CMP0154;ДонМонолит (Таганрог);Таганрог;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0155;Заказ-памятников.рф (Таганрог);Таганрог;ул. Халтурина, 2;+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;info@заказ-памятников.рф;;+79188995162;Филиал.;75;['phones', 'address', 'website', 'email'];Средний
CMP0156;Империя гранита;Таганрог;ул. Пархоменко, 7-20;;;;;;;;;;unknown;20;['address'];Критический
CMP0157;Мастерская по изготовлению памятников (Александровская);Таганрог;Александровская ул., 155;+7 (918) 526-86-66;;;;;;;;"пн-пт 09:00–18:00; сб 09:00–14:00";active;50;['phones', 'address'];Высокий
CMP0158;Мастерская по изготовлению памятников (Дзержинского);Таганрог;ул. Дзержинского, 128;;;;;;;;;;unknown;20;['address'];Критический
CMP0159;Мастерская по изготовлению памятников (Мариупольское шоссе);Таганрог;Мариупольское шоссе, 34 ДНТ Восход, д.13;;;;;;;;;;unknown;20;['address'];Критический
CMP0160;Маштак;Таганрог;ул. Чехова, 320-2;;;;;;;;;;unknown;20;['address'];Критический
CMP0161;МБУ Ритуал;Таганрог;ул. Яблочкина, 8/1;;;;;;;;;Муниципальное учреждение ритуальных услуг.;active;20;['address'];Критический
CMP0162;Ратуша памятники (филиал);Таганрог;ул. Сергея Шило, 243;8-800-101-18-40;https://ratusha-pamyatniki.ru/taganrog/;;;;;;;Федеральная сеть. Гарантия 25 лет. От 3 дней. Фотокерамика: фото не выцветает 30-50 лет. ⭐ ПЕРСПЕКТИВНЫЙ КЛИЕНТ.;active;65;['phones', 'address', 'website'];Средний
CMP0163;Ритуал Камень (ИП Коренев С.Н.);Таганрог;ул. Инструментальная, 11 / Мариупольское ш., 50-2;+7 (908) 515-62-18, +7 (961) 270-36-64;http://www.taganrog-pamyatniki.ru;;;;;taganrog.pamyatniki@gmail.com;79085156218.0;Работает с 1993 г. (32 года). 3 адреса. Гранит, мрамор. Поставки: Карелия, Урал, Индия, Китай. Срочно 10-14 дней. Гарантия 2 года. WhatsApp+Telegram.;active;80;['phones', 'address', 'website', 'email', 'whatsapp'];Средний
CMP0164;Ритуал Камень;Таганрог;Мариупольское шоссе 50-2;+7 908 515-62-18, +7 961 270-36-64, +7 918 564-82-04;https://taganrog-pamyatniki.ru;;;;;taganrog@ritual-kamen.ru;;Срок изготовления - 1 месяц. Гарантия – 1 год;active;75;['phones', 'address', 'website', 'email'];Средний
CMP0165;РостГранит;Таганрог;ДНТ Мирный, 4А;+7 918 551 70 10;https://rostgranit.taganrog.ru;;;;;;;Собственная мастерская, 18 отзывов;active;65;['phones', 'address', 'website'];Средний
CMP0166;Феникс-Стоун;Таганрог;ул. Кузнечная, 48 / Мариупольское ш., 51;;;;;;;;;Ритуальные услуги эконом-класса, памятники и надгробия.;active;20;['address'];Критический
CMP0167;Ратуша памятники (федеральная);Федеральная сеть;Таганрог, ул. Сергея Шило, 243;8-800-101-18-40;https://ratusha-pamyatniki.ru;;;;;;;Федеральная сеть. Фотокерамика.;active;65;['phones', 'address', 'website'];Средний
CMP0168;Мир Памяти (Цимлянск);Цимлянск;(уточнить);+7 (989) 220-10-77, 8 (800) 555-17-25;https://cimlyanск.мирпамяти.рф;;;;+79618559078;zakaz-mirpamyati@yandex.ru;+7 (988) 240-97-47;Найдено при обогащении. Федеральная сеть. Головной офис: г. Краснодар, ул. Рашпилевская 86. Источник: мирпамяти.рф;active;65;['website'];Средний
CMP0169;Памятники (Весенний пер.);Цимлянск;Весенний пер., 2;+7 (86391) 2-72-01;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0170;Памятники Цимлянск (Гранит);Цимлянск;Московская ул., 37/19;+7 918 858 91 89;;;;;;;;Рейтинг 4.4. пн-пт 08:00–18:00;active;50;['phones', 'address'];Высокий
CMP0171;Приют;Цимлянск;Социалистическая ул., 51В/4Б;;;;;;;;;;unknown;20;['address'];Критический
CMP0172;Всегда помним;Шахты;ул. Шевченко, 161;;;;;;;;;Надгробные памятники. Изготовление и установка.;unknown;20;['address'];Критический
CMP0173;Всегда помним;Шахты;ул. Шевченко, 161;+7 (938) 161-70-70;;;;;;;;"пн-пт 09:00–18:00; сб,вс 10:00–17:00";active;50;['phones', 'address'];Высокий
CMP0174;Гранит мрамор искусственный камень;Шахты;Советская ул., 153;;;;;;;;;ежедневно, 09:00–18:00;unknown;20;['address'];Критический
CMP0175;ДонМонолит (Шахты);Шахты;Артёмовский рынок (уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;35;['address', 'website'];Высокий
CMP0176;Заказ-памятников.рф (Шахты);Шахты;ул. Ленина;+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;;;+79188995162;Филиал.;65;['phones', 'address', 'website'];Средний
CMP0177;Изготовление памятников;Шахты;ул. Ленина, 247;;;;;;;;;Изготовление памятников и надгробий.;unknown;20;['address'];Критический
CMP0178;Компания Евгения Романовского;Шахты;(уточнить по тел.);8-800-101-31-42;https://ritualmaster24.ru;;;;;ritualmaster24@mail.ru;;10+ лет. Собственное производство. Гранит, мрамор, оцинк. железо, нержавейка. Изготовление от 7 дней.;active;75;['phones', 'address', 'website', 'email'];Средний
CMP0179;Мир Гранита (Шахты);Шахты;(уточнить);+7 (928) 904-38-33;https://mirgranita-eternity.ru;;;;;;;+79289043833;Филиал.;45;['phones', 'website'];Высокий
CMP0180;Памятники;Шахты;ул. Маяковского, 1А;;;;;;;;;Изготовление памятников и надгробий.;unknown;20;['address'];Критический
CMP0181;Памятники;Шахты;ул. Ленина, 108;;;;;;;;;Памятники, ритуальные услуги.;unknown;20;['address'];Критический
CMP0182;Памятники;Шахты;Советская ул., 93;;;;;;;;;Изготовление памятников и надгробий.;unknown;20;['address'];Критический
CMP0183;Памятники (1-й Милиционный пер.);Шахты;1-й Милиционный пер., 181;;;;;;;;;ежедневно, 09:00–18:00;unknown;20;['address'];Критический
CMP0184;Памятники (Советская ул.);Шахты;Советская улица, 93;;;;;;;;;;unknown;20;['address'];Критический
CMP0185;Памятники (пер. Милиционный);Шахты;1-й Милиционный пер., 124;+7 (960) 443-44-36;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0186;Памятники (ул. Ленина);Шахты;ул. Ленина, 108;+7 918 509 24 75;;;;;;;;Ритуальные услуги, 6 отзывов;active;50;['phones', 'address'];Высокий
CMP0187;Памятники (ул. Маяковского);Шахты;ул. Маяковского, 1А;+7 928 182 42 20;;;;;;;;108 фото на Яндексе;active;50;['phones', 'address'];Высокий
CMP0188;Памятники Шахты;Шахты;;+7 928 755-55-52;;;;https://www.instagram.com/pamyatniki.shakhty;;;;Опт и розница. Портреты ручной работы;active;35;['phones', 'instagram'];Высокий
CMP0189;Ритуал;Шахты;Сокольнический пер., 7Б/1;;;;;;;;;Ритуальные услуги, памятники и надгробия.;unknown;20;['address'];Критический
CMP0190;Ритуал;Шахты;1-й Милиционный пер., 183;;;;;;;;;Ритуальные услуги, памятники.;unknown;20;['address'];Критический
CMP0191;Ритуал-Сервис;Шахты;Индустриальная ул., 2А;;;;;;;;;Ритуальные услуги, памятники.;unknown;20;['address'];Критический
CMP0192;Ритуальное агентство;Шахты;ул. Ленина, 123;;;;;;;;;Ритуальное агентство, принадлежности, памятники.;unknown;20;['address'];Критический
CMP0193;Ритуальные услуги;Шахты;Комиссаровский пер., 9Б;;;;;;;;;Изготовление памятников и надгробий.;unknown;20;['address'];Критический
